student_id,course_id,course_name,topic,topic_quiz_score,mastery_level
STU001,BUS220,Business Analytics,Excel,70,Developing
STU001,BUS220,Business Analytics,KPIs,100,Strong
STU001,BUS220,Business Analytics,Descriptive Statistics,84,Strong
STU001,BUS220,Business Analytics,Forecasting,64,Developing
STU001,BUS220,Business Analytics,Dashboards,86,Strong
STU001,BUS220,Business Analytics,Decision Making,67,Developing
STU002,DS201,Data Science Fundamentals,Data Cleaning,78,Strong
STU002,DS201,Data Science Fundamentals,Pandas,82,Strong
STU002,DS201,Data Science Fundamentals,Data Visualization,59,Weak
STU002,DS201,Data Science Fundamentals,Statistics,80,Strong
STU002,DS201,Data Science Fundamentals,Regression,73,Developing
STU002,DS201,Data Science Fundamentals,Classification,78,Strong
STU002,MATH150,College Algebra,Linear Equations,100,Strong
STU002,MATH150,College Algebra,Functions,79,Strong
STU002,MATH150,College Algebra,Polynomials,72,Developing
STU002,MATH150,College Algebra,Exponents,71,Developing
STU002,MATH150,College Algebra,Quadratic Equations,72,Developing
STU002,MATH150,College Algebra,Graphing,81,Strong
STU003,BUS220,Business Analytics,Excel,100,Strong
STU003,BUS220,Business Analytics,KPIs,99,Strong
STU003,BUS220,Business Analytics,Descriptive Statistics,100,Strong
STU003,BUS220,Business Analytics,Forecasting,96,Strong
STU003,BUS220,Business Analytics,Dashboards,100,Strong
STU003,BUS220,Business Analytics,Decision Making,92,Strong
STU003,DS201,Data Science Fundamentals,Data Cleaning,100,Strong
STU003,DS201,Data Science Fundamentals,Pandas,75,Strong
STU003,DS201,Data Science Fundamentals,Data Visualization,57,Weak
STU003,DS201,Data Science Fundamentals,Statistics,55,Weak
STU003,DS201,Data Science Fundamentals,Regression,73,Developing
STU003,DS201,Data Science Fundamentals,Classification,65,Developing
STU004,BUS220,Business Analytics,Excel,76,Strong
STU004,BUS220,Business Analytics,KPIs,73,Developing
STU004,BUS220,Business Analytics,Descriptive Statistics,67,Developing
STU004,BUS220,Business Analytics,Forecasting,57,Weak
STU004,BUS220,Business Analytics,Dashboards,49,Weak
STU004,BUS220,Business Analytics,Decision Making,62,Developing
STU004,DS201,Data Science Fundamentals,Data Cleaning,100,Strong
STU004,DS201,Data Science Fundamentals,Pandas,99,Strong
STU004,DS201,Data Science Fundamentals,Data Visualization,82,Strong
STU004,DS201,Data Science Fundamentals,Statistics,99,Strong
STU004,DS201,Data Science Fundamentals,Regression,100,Strong
STU004,DS201,Data Science Fundamentals,Classification,86,Strong
STU005,MATH150,College Algebra,Linear Equations,85,Strong
STU005,MATH150,College Algebra,Functions,84,Strong
STU005,MATH150,College Algebra,Polynomials,70,Developing
STU005,MATH150,College Algebra,Exponents,88,Strong
STU005,MATH150,College Algebra,Quadratic Equations,90,Strong
STU005,MATH150,College Algebra,Graphing,96,Strong
STU005,BUS220,Business Analytics,Excel,76,Strong
STU005,BUS220,Business Analytics,KPIs,47,Weak
STU005,BUS220,Business Analytics,Descriptive Statistics,52,Weak
STU005,BUS220,Business Analytics,Forecasting,70,Developing
STU005,BUS220,Business Analytics,Dashboards,70,Developing
STU005,BUS220,Business Analytics,Decision Making,70,Developing
STU006,DS201,Data Science Fundamentals,Data Cleaning,100,Strong
STU006,DS201,Data Science Fundamentals,Pandas,86,Strong
STU006,DS201,Data Science Fundamentals,Data Visualization,93,Strong
STU006,DS201,Data Science Fundamentals,Statistics,91,Strong
STU006,DS201,Data Science Fundamentals,Regression,87,Strong
STU006,DS201,Data Science Fundamentals,Classification,76,Strong
STU006,BUS220,Business Analytics,Excel,73,Developing
STU006,BUS220,Business Analytics,KPIs,54,Weak
STU006,BUS220,Business Analytics,Descriptive Statistics,61,Developing
STU006,BUS220,Business Analytics,Forecasting,58,Weak
STU006,BUS220,Business Analytics,Dashboards,64,Developing
STU006,BUS220,Business Analytics,Decision Making,91,Strong
STU007,MATH150,College Algebra,Linear Equations,41,Weak
STU007,MATH150,College Algebra,Functions,72,Developing
STU007,MATH150,College Algebra,Polynomials,44,Weak
STU007,MATH150,College Algebra,Exponents,58,Weak
STU007,MATH150,College Algebra,Quadratic Equations,77,Strong
STU007,MATH150,College Algebra,Graphing,64,Developing
STU008,CS101,Introduction to Python,Variables,62,Developing
STU008,CS101,Introduction to Python,Data Types,66,Developing
STU008,CS101,Introduction to Python,Loops,83,Strong
STU008,CS101,Introduction to Python,Functions,66,Developing
STU008,CS101,Introduction to Python,Lists,77,Strong
STU008,CS101,Introduction to Python,Dictionaries,75,Strong
STU008,CS101,Introduction to Python,File Handling,67,Developing
STU008,DS201,Data Science Fundamentals,Data Cleaning,66,Developing
STU008,DS201,Data Science Fundamentals,Pandas,48,Weak
STU008,DS201,Data Science Fundamentals,Data Visualization,30,Weak
STU008,DS201,Data Science Fundamentals,Statistics,43,Weak
STU008,DS201,Data Science Fundamentals,Regression,33,Weak
STU008,DS201,Data Science Fundamentals,Classification,51,Weak
STU009,CS101,Introduction to Python,Variables,34,Weak
STU009,CS101,Introduction to Python,Data Types,42,Weak
STU009,CS101,Introduction to Python,Loops,50,Weak
STU009,CS101,Introduction to Python,Functions,54,Weak
STU009,CS101,Introduction to Python,Lists,30,Weak
STU009,CS101,Introduction to Python,Dictionaries,39,Weak
STU009,CS101,Introduction to Python,File Handling,38,Weak
STU010,MATH150,College Algebra,Linear Equations,55,Weak
STU010,MATH150,College Algebra,Functions,84,Strong
STU010,MATH150,College Algebra,Polynomials,67,Developing
STU010,MATH150,College Algebra,Exponents,47,Weak
STU010,MATH150,College Algebra,Quadratic Equations,74,Developing
STU010,MATH150,College Algebra,Graphing,88,Strong
STU011,MATH150,College Algebra,Linear Equations,67,Developing
STU011,MATH150,College Algebra,Functions,36,Weak
STU011,MATH150,College Algebra,Polynomials,49,Weak
STU011,MATH150,College Algebra,Exponents,70,Developing
STU011,MATH150,College Algebra,Quadratic Equations,46,Weak
STU011,MATH150,College Algebra,Graphing,60,Developing
STU012,BUS220,Business Analytics,Excel,86,Strong
STU012,BUS220,Business Analytics,KPIs,65,Developing
STU012,BUS220,Business Analytics,Descriptive Statistics,76,Strong
STU012,BUS220,Business Analytics,Forecasting,38,Weak
STU012,BUS220,Business Analytics,Dashboards,64,Developing
STU012,BUS220,Business Analytics,Decision Making,73,Developing
STU012,MATH150,College Algebra,Linear Equations,42,Weak
STU012,MATH150,College Algebra,Functions,76,Strong
STU012,MATH150,College Algebra,Polynomials,39,Weak
STU012,MATH150,College Algebra,Exponents,51,Weak
STU012,MATH150,College Algebra,Quadratic Equations,58,Weak
STU012,MATH150,College Algebra,Graphing,74,Developing
STU013,BUS220,Business Analytics,Excel,31,Weak
STU013,BUS220,Business Analytics,KPIs,62,Developing
STU013,BUS220,Business Analytics,Descriptive Statistics,49,Weak
STU013,BUS220,Business Analytics,Forecasting,37,Weak
STU013,BUS220,Business Analytics,Dashboards,54,Weak
STU013,BUS220,Business Analytics,Decision Making,51,Weak
STU014,BUS220,Business Analytics,Excel,87,Strong
STU014,BUS220,Business Analytics,KPIs,95,Strong
